harvest,inside_fence,species,inside_slash,year,n (n/year/trmt),avg_ht,sd_ht,avg_basal,sd_basal,avg_ht_cm,sd_ht_cm,avg_basal_sqm,sd_basal_sqm,avg_grdCov,sd_grdCov,avg_subCov,sd_subCov,avg_canCov,sd_canCov
gas_line,no,bc,yes,2018,28,24.8,6.1,3.9,5.0,63.1,15.6,0.4,0.5,93.8,9.0,0.0,0.0,8.6,13.0
gas_line,no,bc,yes,2019,28,34.8,9.5,3.9,5.0,88.3,24.2,0.4,0.5,93.8,9.0,0.0,0.0,8.6,13.0
gas_line,no,bc,yes,2020,27,39.0,11.4,4.1,5.0,99.0,28.9,0.4,0.5,93.5,9.1,0.0,0.0,8.9,13.1
gas_line,no,ro,no,2018,27,10.9,6.0,44.8,19.9,27.7,15.3,4.2,1.8,44.9,25.1,0.1,0.4,43.3,34.0
gas_line,no,ro,no,2019,28,13.2,7.9,45.0,19.5,33.5,20.0,4.2,1.8,44.9,24.6,0.2,0.4,45.0,34.5
gas_line,no,ro,no,2020,29,15.9,10.0,45.2,19.2,40.4,25.5,4.2,1.8,44.9,24.2,0.2,0.4,46.6,34.9
gas_line,no,ro,yes,2018,84,14.3,7.2,10.6,13.3,36.4,18.4,1.0,1.2,73.5,24.2,0.1,0.3,13.8,17.4
gas_line,no,ro,yes,2019,84,22.2,10.7,10.6,13.3,56.5,27.2,1.0,1.2,73.5,24.2,0.1,0.3,13.8,17.4
gas_line,no,ro,yes,2020,84,29.6,15.3,10.6,13.3,75.3,38.9,1.0,1.2,73.5,24.2,0.1,0.3,13.8,17.4
gas_line,no,sm,no,2018,24,5.4,2.1,49.2,18.6,13.8,5.3,4.6,1.7,42.0,25.6,0.2,0.4,44.6,34.5
gas_line,no,sm,no,2019,27,5.8,2.2,49.6,18.1,14.6,5.5,4.6,1.7,40.6,24.9,0.2,0.4,47.0,34.4
gas_line,no,sm,no,2020,26,7.0,2.8,48.8,18.0,17.8,7.1,4.5,1.7,41.7,24.7,0.2,0.4,47.7,34.9
gas_line,no,sm,yes,2018,60,10.1,4.0,7.8,6.7,25.7,10.2,0.7,0.6,93.7,7.9,0.4,0.8,7.8,12.6
gas_line,no,sm,yes,2019,60,13.4,6.7,7.8,6.7,34.0,17.0,0.7,0.6,93.7,7.9,0.4,0.8,7.8,12.6
gas_line,no,sm,yes,2020,59,18.4,8.8,7.8,6.7,46.6,22.5,0.7,0.6,93.9,7.8,0.4,0.8,7.6,12.7
gas_line,yes,bc,yes,2018,26,19.5,5.3,9.2,10.2,49.4,13.5,0.9,0.9,85.8,9.5,0.0,0.0,0.2,0.4
gas_line,yes,bc,yes,2019,26,27.6,8.6,9.2,10.2,70.2,21.7,0.9,0.9,85.8,9.5,0.0,0.0,0.2,0.4
gas_line,yes,bc,yes,2020,26,31.1,9.7,9.2,10.2,79.1,24.6,0.9,0.9,85.8,9.5,0.0,0.0,0.2,0.4
gas_line,yes,ro,no,2018,20,6.8,3.1,28.5,17.9,17.3,7.9,2.6,1.7,37.8,28.2,0.3,0.4,29.3,24.6
gas_line,yes,ro,no,2019,20,11.5,6.1,28.5,17.9,29.1,15.5,2.6,1.7,37.8,28.2,0.3,0.4,29.3,24.6
gas_line,yes,ro,no,2020,20,13.7,8.1,28.5,17.9,34.9,20.5,2.6,1.7,37.8,28.2,0.3,0.4,29.3,24.6
gas_line,yes,ro,yes,2018,84,14.7,7.0,14.5,19.0,37.3,17.7,1.3,1.8,67.1,29.1,0.0,0.0,8.4,14.3
gas_line,yes,ro,yes,2019,84,24.1,10.7,14.5,19.0,61.1,27.2,1.3,1.8,67.1,29.1,0.0,0.0,8.4,14.3
gas_line,yes,ro,yes,2020,84,31.5,13.6,14.5,19.0,80.0,34.6,1.3,1.8,67.1,29.1,0.0,0.0,8.4,14.3
gas_line,yes,sm,no,2018,27,4.5,1.5,27.8,20.3,11.4,3.8,2.6,1.9,33.9,25.1,0.3,0.5,42.4,30.5
gas_line,yes,sm,no,2019,26,5.8,2.2,26.9,20.2,14.6,5.6,2.5,1.9,34.4,25.5,0.3,0.5,43.1,30.9
gas_line,yes,sm,no,2020,25,8.2,4.1,25.6,19.4,20.9,10.5,2.4,1.8,35.0,25.8,0.4,0.5,41.6,30.5
gas_line,yes,sm,yes,2018,60,11.3,3.4,8.7,7.5,28.8,8.6,0.8,0.7,84.8,9.6,0.3,0.7,1.9,3.5
gas_line,yes,sm,yes,2019,59,15.1,6.5,8.8,7.4,38.4,16.5,0.8,0.7,84.5,9.5,0.3,0.7,2.0,3.5
gas_line,yes,sm,yes,2020,59,19.5,9.2,8.8,7.4,49.6,23.4,0.8,0.7,84.5,9.5,0.3,0.7,2.0,3.5
sta_rd,no,sm,no,2019,31,7.0,2.1,42.7,12.2,17.8,5.2,4.0,1.1,95.7,5.6,0.4,0.8,28.2,24.3
sta_rd,no,sm,no,2020,31,8.7,2.4,42.7,12.2,22.2,6.2,4.0,1.1,95.7,5.6,0.4,0.8,28.2,24.3
sta_rd,yes,ro,no,2019,1,11.0,NA,80.0,NA,27.9,NA,7.4,NA,99.0,NA,0.0,NA,95.0,NA
sta_rd,yes,ro,no,2020,1,13.0,NA,80.0,NA,33.0,NA,7.4,NA,99.0,NA,0.0,NA,95.0,NA
sta_rd,yes,sm,no,2019,31,6.6,1.9,48.7,18.6,16.8,4.9,4.5,1.7,97.5,4.2,0.0,0.0,30.8,34.9
sta_rd,yes,sm,no,2020,31,8.1,2.9,48.7,18.6,20.7,7.4,4.5,1.7,97.5,4.2,0.0,0.0,30.8,34.9
