harv_agg,species,inside_slash,year,n,avg_ht,sd_ht,avg_basal,sd_basal,avg_ht_cm,sd_ht_cm,avg_basal_sqm,sd_basal_sqm,avg_grdCov,sd_grdCov,avg_subCov,sd_subCov,avg_canCov,sd_canCov
sta_rd,sm,no,2019,31,7.02258064516129,2.0581074927255143,42.74193548387097,12.168176368257992,17.83735483870968,5.227593031522806,3.970855741935484,1.1304605758673272,95.6774193548387,5.623682641438162,0.3870967741935484,0.8032193289024988,28.225806451612904,24.34297938135943
sta_rd,sm,no,2020,31,8.741935483870968,2.44138269477884,42.74193548387097,12.168176368257992,22.20451612903226,6.201112044738254,3.970855741935484,1.1304605758673272,95.6774193548387,5.623682641438162,0.3870967741935484,0.8032193289024988,28.225806451612904,24.34297938135943
sta_rd,rm,no,2018,11,3.5,0.51234753829798,NA,NA,8.89,1.301362747276869,NA,NA,29.09090909090909,8.312094145936335,0,0,25.454545454545453,9.341987329938275
sta_rd,rm,no,2019,11,4.386363636363637,0.777525211517578,NA,NA,11.141363636363636,1.974914037254648,NA,NA,29.09090909090909,8.312094145936335,0,0,25.454545454545453,9.341987329938275
sta_rd,rm,no,2020,8,4.6875,0.8425090080061035,NA,NA,11.90625,2.139972880335503,NA,NA,26.25,7.44023809142845,0,0,22.5,7.0710678118654755
sta_rd,rm,yes,2018,26,6.865384615384615,2.101464690675017,NA,NA,17.438076923076924,5.337720314314543,NA,NA,41.34615384615385,15.719904090527544,0,0,15.576923076923077,12.595786841394473
sta_rd,rm,yes,2019,26,10.759615384615385,3.9334976606264616,NA,NA,27.329423076923078,9.991084057991213,NA,NA,41.34615384615385,15.719904090527544,0,0,15.576923076923077,12.595786841394473
sta_rd,rm,yes,2020,19,11.789473684210526,4.802533444483246,NA,NA,29.945263157894736,12.198434948987448,NA,NA,42.63157894736842,16.530142589678036,0,0,15.526315789473685,12.681431837544702
sta_rd,sb,no,2018,44,7.7727272727272725,3.2155229338077427,NA,NA,19.742727272727272,8.167428251871666,NA,NA,66.36363636363636,19.658823581508624,0,0,17.045454545454547,18.749207171398616
sta_rd,sb,no,2019,38,18.835526315789473,9.122898928007485,NA,NA,47.842236842105265,23.172163277139013,NA,NA,65.78947368421052,20.747071294114562,0,0,18.157894736842106,19.1516371691532
