harvest,inside_slash,inside_fence,plot,species,basal_area,ground_cov_pct,sub_cov_pct,canopy_cov_pct,tag,ht,issue,year
red_pine,yes,no,922,rm,NA,30,0,0,14027,6,NA,2018
boot,yes,no,909,rm,NA,40,0,5,12068,6.5,NA,2018
boot,yes,no,910,rm,NA,30,0,30,12078,6,NA,2018
boot,no,no,913,rm,NA,40,0,40,12115,3.75,NA,2018
boot,no,no,913,rm,NA,40,0,40,12116,4.25,NA,2018
wedge,no,no,943,sb,NA,80,0,0,12124,11.5,1,2018
wedge,no,no,943,sb,NA,80,0,0,12129,8.25,1,2018
boot,no,no,916,sb,NA,30,0,20,12113,3,1,2018
boot,no,no,916,sb,NA,30,0,20,12114,3,1,2018
wedge,no,no,942,sb,NA,80,0,0,12121,5.25,1,2018
wedge,no,no,943,sb,NA,80,0,0,12125,9,1,2018
red_pine,yes,no,937,co,NA,25,0,20,14130,8.75,1,2018
boot,no,no,913,rm,NA,40,0,40,12117,4,1,2018
boot,no,no,913,rm,NA,40,0,40,12118,3,1,2018
boot,no,no,914,rm,NA,20,0,20,12101,3.5,1,2018
boot,no,no,914,rm,NA,20,0,20,12102,3,1,2018
red_pine,no,no,929,rm,NA,80,0,0,14052,16.5,1,2018
red_pine,yes,no,924,rm,NA,NA,NA,NA,14021,5.5,1,2018
boot,no,no,908,sb,NA,60,0,0,12061,6.25,1,2018
boot,no,no,915,sb,NA,40,0,0,12108,3.5,1,2018
wedge,no,no,944,sb,NA,80,0,0,12134,9,1,2018
boot,yes,no,904,sb,NA,70,0,0,12033,12,1,2018
red_pine,no,no,935,co,NA,20,0,50,14118,3.5,1,2018
red_pine,no,no,927,rm,NA,70,0,0,14042,5.5,1,2018
red_pine,no,no,929,rm,NA,80,0,0,14048,4.25,1,2018
red_pine,no,no,932,ro,NA,95,0,0,14081,14.5,1,2018
wedge,yes,no,941,sb,NA,80,0,40,12078,6.75,NA,2018
red_pine,yes,no,919,ro,NA,75,0,0,12134,8.5,NA,2018
red_pine,no,no,927,ro,NA,70,0,0,14045,12,1,2018
boot,yes,no,909,rm,NA,40,0,5,12071,6,NA,2018
red_pine,no,no,934,co,NA,15,0,70,12098,7.5,NA,2018
wedge,yes,no,939,sb,NA,70,0,80,12060,7.25,NA,2018
red_pine,no,no,934,co,NA,15,0,70,12099,4.5,NA,2018
wedge,yes,no,939,sb,NA,70,0,80,12058,7.5,NA,2018
boot,yes,no,911,rm,NA,25,0,30,12089,5,NA,2018
boot,yes,no,912,rm,NA,65,0,5,12093,5,NA,2018
boot,yes,no,909,rm,NA,40,0,5,12073,5.75,NA,2018
red_pine,no,no,935,co,NA,20,0,50,14114,5,NA,2018
red_pine,no,no,926,rm,NA,40,0,15,14039,4,NA,2018
boot,yes,no,906,sb,NA,50,0,0,12047,7,NA,2018
boot,yes,no,911,rm,NA,25,0,30,12088,6.5,NA,2018
wedge,no,no,944,sb,NA,80,0,0,12133,8.5,NA,2018
wedge,no,no,944,sb,NA,80,0,0,12137,9.5,NA,2018
wedge,no,no,942,sb,NA,80,0,0,12119,3.5,NA,2018
wedge,no,no,942,sb,NA,80,0,0,12115,6.5,NA,2018
wedge,no,no,944,sb,NA,80,0,0,12139,10,NA,2018
wedge,no,no,942,sb,NA,80,0,0,12123,7,NA,2018
boot,no,no,915,sb,NA,40,0,0,12103,3,NA,2018
boot,no,no,915,sb,NA,40,0,0,12106,3.25,NA,2018
boot,no,no,916,rm,NA,30,0,20,12110,3.25,NA,2018
boot,no,no,915,sb,NA,40,0,0,12107,3.5,NA,2018
boot,no,no,915,sb,NA,40,0,0,12104,3.25,NA,2018
boot,yes,no,906,sb,NA,50,0,0,12052,12.5,NA,2018
wedge,yes,no,941,sb,NA,80,0,40,12077,12,NA,2018
boot,no,no,902,sb,30,20,0,40,12017,20,NA,2018
boot,no,no,901,sb,20,80,0,40,12012,12.75,NA,2018
boot,no,no,901,sb,20,80,0,40,12013,13.5,NA,2018
boot,no,no,902,sb,30,20,0,40,12018,6.5,NA,2018
boot,yes,no,903,sb,NA,50,0,5,12023,16,NA,2018
boot,yes,no,906,sb,NA,50,0,0,12048,12,NA,2018
red_pine,no,no,930,rm,NA,40,0,0,14055,16,NA,2018
boot,yes,no,906,sb,NA,50,0,0,12051,12,NA,2018
boot,yes,no,903,sb,NA,50,0,5,12028,10.25,NA,2018
wedge,yes,no,941,sb,NA,80,0,40,12075,12.75,NA,2018
boot,no,no,908,sb,NA,60,0,0,12062,13,NA,2018
boot,yes,no,905,sb,NA,85,0,5,12044,11,NA,2018
boot,no,no,902,sb,30,20,0,40,12014,6,NA,2018
boot,yes,no,905,sb,NA,85,0,5,12038,13.5,NA,2018
red_pine,no,no,932,rm,NA,95,0,0,14081,20,NA,2018
wedge,yes,no,940,sb,NA,NA,NA,NA,12062,13.5,NA,2018
red_pine,no,no,929,ro,NA,80,0,0,14050,26,NA,2018
boot,yes,no,903,sb,NA,50,0,5,12025,12.5,NA,2018
boot,no,no,901,sb,20,80,0,40,12011,13.5,NA,2018
wedge,yes,no,940,sb,NA,NA,NA,NA,12065,13.5,NA,2018
boot,no,no,901,sb,20,80,0,40,12007,13,NA,2018
boot,yes,no,905,sb,NA,85,0,5,12041,7.75,NA,2018
red_pine,no,no,929,ro,NA,80,0,0,14049,19,NA,2018
boot,yes,no,906,sb,NA,50,0,0,12049,7.5,NA,2018
boot,yes,no,904,sb,NA,70,0,0,12034,12.5,NA,2018
