harvest,inside_slash,inside_fence,plot,species,basal_area,ground_cov_pct,sub_cov_pct,canopy_cov_pct,tag,ht,year
gas_line,no,yes,3087,ro,10,20,1,60,12147,12.25,2018
gas_line,no,yes,3087,sm,10,20,1,60,12155,5.25,2018
gas_line,no,yes,3087,ro,10,20,1,60,12145,9.5,2018
gas_line,no,yes,3087,sm,10,20,1,60,12153,4,2018
gas_line,no,yes,3087,ro,10,20,1,60,12146,4.75,2018
gas_line,no,yes,3087,ro,10,20,1,60,12149,6.5,2018
gas_line,no,yes,3087,sm,10,20,1,60,12152,4.5,2018
gas_line,no,yes,3087,sm,10,20,1,60,12151,5,2018
gas_line,no,yes,3087,sm,10,20,1,60,12150,9.5,2018
gas_line,no,yes,3087,sm,10,20,1,60,12240,5.25,2018
gas_line,no,yes,3087,sm,10,20,1,60,12241,4.25,2018
gas_line,no,yes,3087,sm,10,20,1,60,12242,3,2018
gas_line,no,yes,3087,ro,10,20,1,60,12148,5.75,2018
gas_line,no,yes,3087,sm,10,20,1,60,12154,7,2018
gas_line,no,yes,3088,ro,20,85,0,5,12167,16,2018
gas_line,no,yes,3088,ro,20,85,0,5,12166,7.25,2018
gas_line,no,yes,3088,ro,20,85,0,5,12168,8.75,2018
gas_line,no,yes,3088,ro,20,85,0,5,12170,5.75,2018
gas_line,no,yes,3088,ro,20,85,0,5,12169,8,2018
gas_line,no,yes,3088,sm,20,85,0,5,12175,4.5,2018
gas_line,no,yes,3088,sm,20,85,0,5,12173,5.25,2018
gas_line,no,yes,3088,sm,20,85,0,5,12174,3.75,2018
gas_line,no,yes,3088,sm,20,85,0,5,12172,2.75,2018
gas_line,no,yes,3088,sm,20,85,0,5,12171,2.75,2018
gas_line,no,yes,3089,ro,20,30,0,10,12188,5.5,2018
gas_line,no,yes,3089,sm,20,30,0,10,12190,3.5,2018
gas_line,no,yes,3089,sm,20,30,0,10,12191,4.25,2018
gas_line,no,yes,3089,sm,20,30,0,10,12189,4.75,2018
gas_line,no,yes,3089,sm,20,30,0,10,12185,4.5,2018
gas_line,no,yes,3089,ro,20,30,0,10,12187,4,2018
gas_line,no,yes,3089,sm,20,30,0,10,12184,4,2018
gas_line,no,yes,3089,ro,20,30,0,10,12186 Now 12380 in 2020,4,2018
gas_line,no,yes,3090,sm,50,20,0,25,12219,3.25,2018
gas_line,no,yes,3090,ro,50,20,0,25,12215,9,2018
gas_line,no,yes,3090,ro,50,20,0,25,12214,5.5,2018
gas_line,no,yes,3090,ro,50,20,0,25,12212,6.25,2018
gas_line,no,yes,3090,ro,50,20,0,25,12213,5.75,2018
gas_line,no,yes,3090,ro,50,20,0,25,12216,5,2018
gas_line,no,yes,3090,ro,50,20,0,25,12217,4,2018
gas_line,no,yes,3090,sm,50,20,0,25,12218,6.5,2018
gas_line,no,yes,3091,sm,60,20,0,80,12222,3,2018
gas_line,no,yes,3091,ro,60,20,0,80,12226,3,2018
gas_line,no,yes,3091,sm,60,20,0,80,12223,5.25,2018
gas_line,no,yes,3091,sm,60,20,0,80,12220,4.5,2018
gas_line,no,yes,3091,sm,60,20,0,80,12221,4.75,2018
gas_line,no,yes,3091,sm,60,20,0,80,12224,3,2018
gas_line,no,yes,3091,sm,60,20,0,80,12225,3,2018
gas_line,no,no,3092,ro,40,30,0,80,12160,17.75,2018
gas_line,no,no,3092,ro,40,30,0,80,12157,15.75,2018
gas_line,no,no,3092,ro,40,30,0,80,12158,11.75,2018
gas_line,no,no,3092,ro,40,30,0,80,12161,16.5,2018
gas_line,no,no,3092,ro,40,30,0,80,12159,14.5,2018
gas_line,no,no,3092,ro,40,30,0,80,12156,10.5,2018
gas_line,no,no,3092,sm,40,30,0,80,12165,5,2018
gas_line,no,no,3092,sm,40,30,0,80,12162,7,2018
gas_line,no,no,3092,sm,40,30,0,80,12163,5.75,2018
gas_line,no,no,3092,sm,40,30,0,80,12164,5,2018
gas_line,no,no,3093,ro,10,60,0,30,12176,9.5,2018
gas_line,no,no,3093,ro,10,60,0,30,12180,23.25,2018
gas_line,no,no,3093,ro,10,60,0,30,12177,14.25,2018
gas_line,no,no,3093,ro,10,60,0,30,12179,18,2018
gas_line,no,no,3093,ro,10,60,0,30,12178,14.25,2018
gas_line,no,no,3093,sm,10,60,0,30,12183,4,2018
gas_line,no,no,3093,sm,10,60,0,30,12181,7.75,2018
gas_line,no,no,3093,sm,10,60,0,30,12182,7.5,2018
gas_line,no,no,3094,ro,50,45,1,90,12197,4,2018
gas_line,no,no,3094,sm,50,45,1,90,12193,2,2018
gas_line,no,no,3094,sm,50,45,1,90,12195,3.75,2018
gas_line,no,no,3094,sm,50,45,1,90,12194,3,2018
gas_line,no,no,3094,sm,50,45,1,90,12192,4.75,2018
gas_line,no,no,3094,ro,50,45,1,90,12199,3.5,2018
gas_line,no,no,3094,sm,50,45,1,90,12196,7.25,2018
gas_line,no,no,3094,ro,50,45,1,90,12198,3.5,2018
gas_line,no,no,3094,ro,50,45,1,90,12200,3.75,2018
gas_line,no,no,3095,ro,50,80,0,0,12206,21,2018
gas_line,no,no,3095,ro,50,80,0,0,12201,21.5,2018
gas_line,no,no,3095,ro,50,80,0,0,12202,10.25,2018
gas_line,no,no,3095,ro,50,80,0,0,12204,8.25,2018
gas_line,no,no,3095,ro,50,80,0,0,12205,10.25,2018
gas_line,no,no,3095,sm,50,80,0,0,12210,10,2018
gas_line,no,no,3095,ro,50,80,0,0,12203,8.5,2018
gas_line,no,no,3095,sm,50,80,0,0,12211,9.5,2018
gas_line,no,no,3095,sm,50,80,0,0,12208,8.5,2018
gas_line,no,no,3095,sm,50,80,0,0,12209,3.75,2018
gas_line,no,no,3095,sm,50,80,0,0,12207,5,2018
gas_line,no,no,3096,sm,70,12,0,30,12227,3.75,2018
gas_line,no,no,3096,sm,70,12,0,30,12233,5.5,2018
gas_line,no,no,3096,ro,70,12,0,30,12234,7,2018
gas_line,no,no,3096,sm,70,12,0,30,12229,5,2018
gas_line,no,no,3096,ro,70,12,0,30,12236,6,2018
gas_line,no,no,3096,ro,70,12,0,30,12235,5.5,2018
gas_line,no,no,3096,ro,70,12,0,30,12238,5.65,2018
gas_line,no,no,3096,sm,70,12,0,30,12231,4.25,2018
gas_line,no,no,3096,ro,70,12,0,30,12239,6,2018
gas_line,no,no,3096,sm,70,12,0,30,12232,3.25,2018
gas_line,no,no,3096,ro,70,12,0,30,12237,4.25,2018
gas_line,no,no,3096,sm,70,12,0,30,12228,4.5,2018
gas_line,no,no,3096,sm,70,12,0,30,12230,4.5,2018
gas_line,yes,yes,3101,sm,0,100,0,0,3665,19.25,2018
gas_line,yes,yes,3101,sm,0,100,0,0,3663,13,2018
gas_line,yes,yes,3101,bc,0,100,0,0,3669,23.25,2018
gas_line,yes,yes,3101,bc,0,100,0,0,3668,19.75,2018
gas_line,yes,yes,3101,bc,0,100,0,0,3666,20.5,2018
gas_line,yes,yes,3101,bc,0,100,0,0,3671,19,2018
gas_line,yes,yes,3101,sm,0,100,0,0,3660,11.5,2018
gas_line,yes,yes,3101,bc,0,100,0,0,3667,20.75,2018
gas_line,yes,yes,3101,bc,0,100,0,0,3670,24.75,2018
gas_line,yes,yes,3101,bc,0,100,0,0,3672,23.5,2018
gas_line,yes,yes,3101,sm,0,100,0,0,3661,15,2018
gas_line,yes,yes,3101,sm,0,100,0,0,3659,13.75,2018
gas_line,yes,yes,3101,sm,0,100,0,0,3662,13.75,2018
gas_line,yes,yes,3101,sm,0,100,0,0,3664,13.75,2018
gas_line,yes,yes,3101,sm,0,100,0,0,3658,9.75,2018
gas_line,yes,yes,3102,sm,0,85,0,0,3693,17.75,2018
gas_line,yes,yes,3102,bc,0,85,0,0,3698,20,2018
gas_line,yes,yes,3102,bc,0,85,0,0,3696,21.75,2018
gas_line,yes,yes,3102,bc,0,85,0,0,3699,16.5,2018
gas_line,yes,yes,3102,bc,0,85,0,0,3700,15.25,2018
gas_line,yes,yes,3102,bc,0,85,0,0,3701,16.5,2018
gas_line,yes,yes,3102,sm,0,85,0,0,3691,19,2018
gas_line,yes,yes,3102,sm,0,85,0,0,3690,11,2018
gas_line,yes,yes,3102,bc,0,85,0,0,3697,14.5,2018
gas_line,yes,yes,3102,sm,0,85,0,0,3689,10.75,2018
gas_line,yes,yes,3102,bc,0,85,0,0,3702,13.25,2018
gas_line,yes,yes,3102,sm,0,85,0,0,3692,13.25,2018
gas_line,yes,yes,3102,sm,0,85,0,0,3694,8.75,2018
gas_line,yes,yes,3102,sm,0,85,0,0,3695,8.1,2018
gas_line,yes,yes,3103,bc,20,80,0,0,3729,27.5,2018
