harvest,inside_slash,plot,species,n
boot,no,913,rm,3
boot,no,914,rm,4
boot,no,916,rm,4
boot,no,901,sb,13
boot,no,902,sb,5
boot,no,907,sb,7
boot,no,908,sb,3
boot,no,915,sb,4
boot,yes,909,rm,8
boot,yes,910,rm,5
boot,yes,911,rm,6
boot,yes,912,rm,7
boot,yes,903,sb,10
boot,yes,904,sb,7
boot,yes,905,sb,5
boot,yes,906,sb,7
red_pine,no,933,co,8
red_pine,no,934,co,10
red_pine,no,935,co,9
red_pine,no,925,rm,2
red_pine,no,926,rm,2
red_pine,no,927,rm,4
red_pine,no,928,rm,1
red_pine,no,929,rm,5
red_pine,no,930,rm,3
red_pine,no,931,rm,4
red_pine,no,932,rm,3
red_pine,no,925,ro,2
red_pine,no,926,ro,4
red_pine,no,927,ro,1
red_pine,no,928,ro,3
red_pine,no,929,ro,2
red_pine,no,930,ro,3
red_pine,no,931,ro,4
red_pine,no,932,ro,2
red_pine,yes,936,co,7
red_pine,yes,937,co,7
red_pine,yes,938,co,9
red_pine,yes,917,rm,4
red_pine,yes,918,rm,3
red_pine,yes,920,rm,4
red_pine,yes,921,rm,8
red_pine,yes,922,rm,5
red_pine,yes,923,rm,4
red_pine,yes,924,rm,4
red_pine,yes,917,ro,2
red_pine,yes,918,ro,2
red_pine,yes,919,ro,3
red_pine,yes,920,ro,3
red_pine,yes,921,ro,1
red_pine,yes,922,ro,2
red_pine,yes,923,ro,2
wedge,no,942,sb,4
wedge,no,943,sb,4
wedge,no,944,sb,5
wedge,yes,939,sb,8
wedge,yes,940,sb,8
wedge,yes,941,sb,9
