harvest,inside_slash,inside_fence,plot,species,basal_area,ground_cov_pct,sub_cov_pct,canopy_cov_pct,tag,ht,year
red_pine,yes,no,922,rm,NA,30,0,0,14027,6,2018
boot,yes,no,909,rm,NA,40,0,5,12068,6.5,2018
boot,yes,no,910,rm,NA,30,0,30,12078,6,2018
boot,no,no,913,rm,NA,40,0,40,12115,3.75,2018
boot,no,no,913,rm,NA,40,0,40,12116,4.25,2018
wedge,yes,no,941,sb,NA,80,0,40,12078,6.75,2018
red_pine,yes,no,919,ro,NA,75,0,0,12134,8.5,2018
boot,yes,no,909,rm,NA,40,0,5,12071,6,2018
red_pine,no,no,934,co,NA,15,0,70,12098,7.5,2018
wedge,yes,no,939,sb,NA,70,0,80,12060,7.25,2018
red_pine,no,no,934,co,NA,15,0,70,12099,4.5,2018
wedge,yes,no,939,sb,NA,70,0,80,12058,7.5,2018
boot,yes,no,911,rm,NA,25,0,30,12089,5,2018
boot,yes,no,912,rm,NA,65,0,5,12093,5,2018
boot,yes,no,909,rm,NA,40,0,5,12073,5.75,2018
red_pine,no,no,935,co,NA,20,0,50,14114,5,2018
red_pine,no,no,926,rm,NA,40,0,15,14039,4,2018
boot,yes,no,906,sb,NA,50,0,0,12047,7,2018
boot,yes,no,911,rm,NA,25,0,30,12088,6.5,2018
wedge,no,no,944,sb,NA,80,0,0,12133,8.5,2018
wedge,no,no,944,sb,NA,80,0,0,12137,9.5,2018
wedge,no,no,942,sb,NA,80,0,0,12119,3.5,2018
wedge,no,no,942,sb,NA,80,0,0,12115,6.5,2018
wedge,no,no,944,sb,NA,80,0,0,12139,10,2018
wedge,no,no,942,sb,NA,80,0,0,12123,7,2018
boot,no,no,915,sb,NA,40,0,0,12103,3,2018
boot,no,no,915,sb,NA,40,0,0,12106,3.25,2018
boot,no,no,916,rm,NA,30,0,20,12110,3.25,2018
boot,no,no,915,sb,NA,40,0,0,12107,3.5,2018
boot,no,no,915,sb,NA,40,0,0,12104,3.25,2018
boot,yes,no,906,sb,NA,50,0,0,12052,12.5,2018
wedge,yes,no,941,sb,NA,80,0,40,12077,12,2018
boot,no,no,901,sb,20,80,0,40,12012,12.75,2018
boot,no,no,901,sb,20,80,0,40,12013,13.5,2018
boot,no,no,902,sb,30,20,0,40,12018,6.5,2018
boot,yes,no,903,sb,NA,50,0,5,12023,16,2018
boot,yes,no,906,sb,NA,50,0,0,12048,12,2018
red_pine,no,no,930,rm,NA,40,0,0,14055,16,2018
boot,yes,no,906,sb,NA,50,0,0,12051,12,2018
boot,yes,no,903,sb,NA,50,0,5,12028,10.25,2018
wedge,yes,no,941,sb,NA,80,0,40,12075,12.75,2018
boot,no,no,908,sb,NA,60,0,0,12062,13,2018
boot,yes,no,905,sb,NA,85,0,5,12044,11,2018
boot,no,no,902,sb,30,20,0,40,12014,6,2018
boot,yes,no,905,sb,NA,85,0,5,12038,13.5,2018
wedge,yes,no,940,sb,NA,NA,NA,NA,12062,13.5,2018
boot,yes,no,903,sb,NA,50,0,5,12025,12.5,2018
boot,no,no,901,sb,20,80,0,40,12011,13.5,2018
wedge,yes,no,940,sb,NA,NA,NA,NA,12065,13.5,2018
boot,no,no,901,sb,20,80,0,40,12007,13,2018
boot,yes,no,905,sb,NA,85,0,5,12041,7.75,2018
boot,yes,no,906,sb,NA,50,0,0,12049,7.5,2018
boot,yes,no,904,sb,NA,70,0,0,12034,12.5,2018
red_pine,no,no,931,rm,NA,85,0,0,14057,13.5,2018
boot,no,no,902,sb,30,20,0,40,12016,5,2018
boot,no,no,902,sb,30,20,0,40,12015,4,2018
boot,yes,no,905,sb,NA,85,0,5,12042,10,2018
boot,yes,no,906,sb,NA,50,0,0,12046,6.5,2018
boot,no,no,901,sb,20,80,0,40,12001,10.75,2018
boot,no,no,901,sb,20,80,0,40,12009,7.5,2018
wedge,no,no,943,sb,NA,80,0,0,12130,5,2018
red_pine,no,no,929,rm,NA,80,0,0,14046,14.5,2018
boot,no,no,908,sb,NA,60,0,0,12063,15,2018
boot,no,no,901,sb,20,80,0,40,12008,6,2018
boot,no,no,901,sb,20,80,0,40,12002,12.5,2018
red_pine,no,no,931,rm,NA,85,0,0,14058,14.5,2018
red_pine,no,no,928,ro,NA,30,0,20,14046,9.5,2018
red_pine,yes,no,924,rm,NA,NA,NA,NA,14017,14,2018
red_pine,yes,no,920,ro,NA,60,0,5,12142,11.5,2018
boot,yes,no,904,sb,NA,70,0,0,12036,11.75,2018
red_pine,yes,no,918,ro,NA,NA,NA,NA,12121,15,2018
red_pine,yes,no,922,ro,NA,30,0,0,14029,6.5,2018
wedge,yes,no,940,sb,NA,NA,NA,NA,12064,9.5,2018
red_pine,yes,no,923,rm,NA,45,0,5,14032,12,2018
red_pine,yes,no,924,rm,NA,NA,NA,NA,14019,10.5,2018
red_pine,no,no,929,rm,NA,80,0,0,14050,12,2018
boot,no,no,901,sb,20,80,0,40,12004,8,2018
boot,no,no,901,sb,20,80,0,40,12006,10.5,2018
boot,yes,no,904,sb,NA,70,0,0,12035,5,2018
boot,yes,no,904,sb,NA,70,0,0,12031,11.5,2018
boot,yes,no,906,sb,NA,50,0,0,12045,7,2018
boot,no,no,907,sb,NA,60,0,10,12053,7,2018
red_pine,no,no,931,rm,NA,85,0,0,14059,12.5,2018
red_pine,yes,no,920,ro,NA,60,0,5,12143,8.5,2018
red_pine,yes,no,938,co,NA,10,0,20,14140,7,2018
wedge,yes,no,940,sb,NA,NA,NA,NA,12063,12,2018
wedge,yes,no,939,sb,NA,70,0,80,12061,8.5,2018
boot,yes,no,903,sb,NA,50,0,5,12019,13,2018
boot,no,no,901,sb,20,80,0,40,12005,6.5,2018
red_pine,no,no,931,ro,NA,85,0,0,14056,16,2018
boot,yes,no,904,sb,NA,70,0,0,12037,5.5,2018
boot,no,no,907,sb,NA,60,0,10,12055,6.25,2018
boot,yes,no,904,sb,NA,70,0,0,12029,10,2018
boot,no,no,907,sb,NA,60,0,10,12058,7.5,2018
red_pine,yes,no,922,rm,NA,30,0,0,14024,6.5,2018
wedge,yes,no,941,sb,NA,80,0,40,12076,8.75,2018
boot,yes,no,903,sb,NA,50,0,5,12024,10.25,2018
red_pine,no,no,931,rm,NA,85,0,0,14056,15,2018
boot,no,no,901,sb,20,80,0,40,12010,7.5,2018
red_pine,yes,no,938,co,NA,10,0,20,14143,8.5,2018
red_pine,no,no,927,rm,NA,70,0,0,14043,5.5,2018
boot,no,no,901,sb,20,80,0,40,12003,7.5,2018
boot,no,no,907,sb,NA,60,0,10,12059,6.5,2018
red_pine,yes,no,921,rm,NA,30,0,20,14006,7.25,2018
wedge,no,no,943,sb,NA,80,0,0,12132,5.5,2018
red_pine,no,no,935,co,NA,20,0,50,14113,0,2018
boot,no,no,907,sb,NA,60,0,10,12054,6,2018
red_pine,yes,no,923,rm,NA,45,0,5,14031,9,2018
red_pine,yes,no,921,rm,NA,30,0,20,14007,8.25,2018
